Model,Cores,Speed (GHz),Cache,Placeholder,QPI/HT,Watts,Notes,CINT2006Rate,CFP2006Rate,Blended,Blended/Core
Intel E7-4860 v2,12,2.6,30M,,8GT/s,130,,450,355,402.5,33.54
Intel E7-4870,10,2.4,30M,,6.4GT/s,130,"Turbo HT, 1333MHz Max Mem",252.5,178.5,215.5,21.55
Intel E7-4870 v2,15,2.3,30M,,8GT/s,130,,487.5,400,443.75,29.58
Intel E7-4880 v2,15,2.5,37.5M,,8GT/s,130,,547.5,407.5,477.5,31.83
Intel E7-4890 v2,15,2.8,37.5M,,8GT/s,155,,600,437.5,518.75,34.58
Intel E7-7458,6,2.4,16M,,,90,,73.5,35.25,54.375,9.06
Intel E7-8837,8,2.66,24M,,6.4GT/s,130,,198.5,159.5,179,22.38
Intel E7-8850,10,2,24M,,6.4GT/s,130,,202.5,128.75,165.625,16.56
Intel E7-8850 v2,12,2.3,24M,,7.2GT/s,105,,407.5,335,371.25,30.94
Intel E7-8857 v2,12,3,30M,,8GT/s,130,,410,352.5,381.25,31.77
Intel E7-8860 v4,18,2.2,45M,,,140,,722.5,495,608.75,33.82
Intel E7-8867 v4,18,2.4,45M,,,165,,748.75,506.25,627.5,34.86
Intel E7-8867L,10,2.13,30M,,6.40GT/s,105,,246,163,204.5,20.45
Intel E7-8870 v2,15,2.3,30M,,8GT/s,130,,475,365,420,28
Intel E7-8870 v4,20,2.1,50M,,,140,,787.5,510,648.75,32.44
Intel E7-8880 v2,15,2.5,37.5M,,8GT/s,130,,545,407.5,476.25,31.75
Intel E7-8880 v4,22,2.2,55M,,,150,,822.5,538.75,680.625,30.94
Intel E7-8880L v2,15,2.2,37.5M,,8GT/s,105,,505,387.5,446.25,29.75
Intel E7-8890 v2,15,2.8,37.5M,,8GT/s,155,,588.75,413.75,501.25,33.42
Intel E7-8890 v4,24,2.2,60M,,,165,,898.75,565,731.875,30.49
Intel E7-8891 v2,10,3.2,37.5M,,8GT/s,155,,455,357.5,406.25,40.63
Intel E7-8891 v4,10,2.8,60M,,,165,,550,406.25,478.125,47.81
Intel E7-8893 v2,6,3.4,37.5M,,8GT/s,155,,300,265,282.5,47.08
Intel E7-8893 v4,4,3.2,60M,,,140,,248.75,208.75,228.75,57.19
Intel E7-L8867,10,2.13,30M,,6.40GT/s,105,,246,163,204.5,20.45
Intel E7310,4,1.6,4M,,,80,,32,21.5,26.75,6.69
Intel E7320,4,2.13,4M,,,80,,35.5,23.67,29.585,7.4
Intel E7330,4,2.4,6MB,,,80,1066MHz,44.25,26,35.125,8.78
Intel E7340,4,2.4,8M,,1066MHz,80,,47,27,37,9.25
Intel E7420,4,2.13,8M,,1066MHz,90,,46.2,27.85,37.025,9.26
Intel E7430,4,2.13,12M,,1066MHz,90,,49.85,29.65,39.75,9.94
Intel E7440,4,2.4,16M,,,90,,55.43,32,43.715,10.93
Intel E7445,4,2.13,12M,,,50,,50,30,40,10
Intel E7450,6,2.4,12M,,,90,,34.75,33.75,34.25,5.71
Intel E7455,6,2.13,12M,,,65,,31,30,30.5,5.08
Intel E7458,6,2.4,16M,,,90,,73.5,73.5,73.5,12.25
Intel E7520,4,1.86,18M,,4.8GT/s,95,"Turbo HT, 800MHz Max Mem",58.25,71.25,64.75,16.19
Intel E7530,6,1.86,12M,,5.86GT/s,105,Turbo HT,120.5,96,108.25,18.04
Intel E7540,6,2,18M,,6.4GT/s,105,Turbo HT,132.5,104.5,118.5,19.75
Intel L5240,2,3,6M,,1333MHz,40,,38.1,27,32.55,16.28
Intel L5310,4,1.6,8M,,1066MHz,50,,32,21.5,26.75,6.69
Intel L5320,4,1.86,8M,,1066MHz,50,,40,23.7,31.85,7.96
Intel L5335,4,2,8M,,1333MHz,50,,45,29.2,37.1,9.28
Intel L5408,4,2.13,12M,,1066MHz,40,,48.5,28.5,38.5,9.63
Intel L5410,4,2.33,12M,,1333MHz,50,,57,34,45.5,11.38
Intel L5420,4,2.5,12M,,1333MHz,50,,59.5,35,47.25,11.81
Intel L5430,4,2.66,12M,,1333MHz,50,,64.5,37.5,51,12.75
Intel L5506,4,2.13,4M,,4.8GT/s,60,,70.5,59.5,65,16.25
Intel L5518,4,2.13,8M,,5.86GT/s,60,Embedded,100.5,77.5,89,22.25
Intel L5520,4,2.26,8M,,5.86GT/s,60,,100,79.5,89.75,22.44
Intel L5530,4,2.4,8M,,5.86GT/s,60,,104,80,92,23
Intel L5609,4,1.86,12M,,4.8GT/s,40,800MHz Max Mem,73,60,66.5,16.63
Intel L5630,4,2.13,12M,,5.86GT/s,40,"Turbo HT, 1066MHz Max Mem",94.5,69.5,82,20.5
Intel L5640,6,2.26,12M,,5.86GT/s,60,"Turbo HT, 1066MHz Max Mem",142,99,120.5,20.08
Intel L7345,4,1.86,8M,,,50,,41.5,24,32.75,8.19
Intel L7455,6,2.13,12M,,,65,,59.25,32.75,46,7.67
Intel L7545,6,1.86,18M,,5.86GT/s,70,Turbo HT,125,101,113,18.83
Intel L7555,8,1.86,24M,,5.86GT/s,95,Turbo HT,161,120.5,140.75,17.59
Intel W5580,4,3.2,8M,,6.4GT/s,130,,130,101,115.5,28.88
Intel W5590,4,3.33,8M,,6.4GT/s,130,,137,105,121,30.25
Intel X5355,4,2.66,8M,,1333MHz,120,,39,28.6,33.8,8.45
Intel X5365,4,3,8M,,1333MHz,150,,47.6,33.1,40.35,10.09
Intel X5450,4,3,12M,,1333MHz,120,,65,37,51,12.75
Intel X5460,4,3.16,12M,,1333MHz,120,,68.5,38.5,53.5,13.38
Intel X5470,4,3.33,12M,,1333MHz,120,,72,41.4,56.7,14.18
Intel X5472,4,3,12M,,1600MHz,120,,70,43,56.5,14.13
Intel X5482,4,3.2,12M,,1600MHz,150,,73.5,41.7,57.6,14.4
Intel X5492,4,3.4,12M,,1600MHz,150,,78.5,47.5,63,15.75
Intel X5550,4,2.66,8M,,6.4GT/s,95,,121,94,107.5,26.88
Intel X5560,4,2.8,8M,,6.4GT/s,95,,124.5,95.5,110,27.5
Intel X5570,4,2.93,8M,,6.4GT/s,95,,128,99.5,113.75,28.44
Intel X5606,4,2.13,8M,,4.8GT/s,80,,85,73.5,79.25,19.81
Intel X5647,4,2.93,12M,,5.86GT/s,130,,137,102,119.5,29.88
Intel X5649,6,2.53,12M,,5.86GT/s,80,,169,119,144,24
Intel X5650,6,2.66,12M,,6.4GT/s,95,"Turbo HT, 1333MHz Max Mem",173,120,146.5,24.42
Intel X5660,6,2.8,12M,,6.4GT/s,95,"Turbo HT, 1333MHz Max Mem",175,121,148,24.67
Intel X5667,4,3.06,12M,,6.4GT/s,95,"Turbo HT, 1333MHz Max Mem",142.5,107,124.75,31.19
Intel X5670,6,2.93,12M,,6.4GT/s,95,"Turbo HT, 1333MHz Max Mem",178,120.5,149.25,24.88
Intel X5672,4,3.2,12M,,6.4GT/s,95,,153,113,133,33.25
Intel X5675,6,3.06,12M,,6.4GT/s,95,,198.5,133,165.75,27.63
Intel X5677,4,3.46,12M,,6.4GT/s,130,"Turbo HT, 1333MHz Max Mem",182,124.5,153.25,38.31
Intel X5680,6,3.33,12M,,6.4GT/S,130,"Turbo HT, 1333MHz Max Mem",203.5,135,169.25,28.21
Intel X5687,4,3.6,12M,,6.4GT/s,130,,166,122,144,36
Intel X5690,6,3.46,12M,,6.4GT/s,130,,213,141,177,29.5
Intel X6550,8,2,18M,,6.4GT/s,130,"Turbo HT, 1066MHz Max Mem",171.5,130,150.75,18.84
Intel X7350,4,2.93,8M,,,130,,54,31,42.5,10.63
Intel X7460,6,2.66,16M,,,130,,72.5,38.75,55.625,9.27
Intel X7520,4,1.86,18M,,4.8GT/s,95,"Turbo HT, 800MHz Max Mem",58.25,71.25,64.75,16.19
Intel X7540,6,2,18M,,6.4GT/s,105,Turbo HT,132.5,104.5,118.5,19.75
Intel X7542,6,2.66,18M,,5.86GT/s,130,Turbo HT,134.5,110.5,122.5,20.42
Intel X7550,8,2,18M,,6.4GT/s,130,,171.5,128.75,150.125,18.77
Intel X7560,8,2.26,24M,,6.4GT/s,130,Turbo HT,193,142,167.5,20.94
Intel Xeon 2.40GHz,1,2.4,512KB,,533MHz,85,,10,9,9.5,9.5
Intel Xeon 2.80GHz,1,2.8,512KB,,533MHz,85,,11.5,11,11.25,11.25
Intel Xeon 3.06GHz,1,3.06,512KB,,533MHz,85,,13.5,13.2,13.35,13.35
Intel Xeon 3.40GHz,1,3.4,512KB,,533MHz,85,,14,14,14,14
